PDB_ID,X,Y,Z
1BCU,9.575352831906464,20.332092828922054,50.34067233660846
1BZC,-19.519530083764675,54.473656924669335,16.974244278928662
1C5Z,8.763097335559815,1.1507870859507225,24.97138643731127
1E66,4.588337769298333,68.73253824292397,65.8839999446119
1EBY,13.166662248867443,23.041826812448367,5.534249733309696
1G2K,12.0467601459473,23.45323798260893,5.5262568077338
1GPK,2.8766358615444974,67.42403658821142,63.15878348477704
1GPN,3.3305481568887836,67.42841321439838,63.50828595252357
1H22,2.5732402620979142,63.66863112845756,68.60141619962963
1H23,2.6152760666616257,63.70201564943485,68.85483698868914
1K1I,-0.43019392379453575,19.365643892747368,17.707727836557446
1LPG,5.814372959429032,7.888902709156608,22.375800846091423
1MQ6,7.400813001850869,5.870909387774459,22.10173144997656
1NC1,45.73719723182443,86.47002183511631,41.642397428282564
1NC3,45.32333287352178,51.59393188769753,42.03088813057608
1NVQ,5.072727810433217,6.369113280326018,16.804982969991205
1O3F,43.53100191339161,-1.2609475558712235,31.30771371836814
1O5B,8.41347873890732,2.839982556611876,26.103579180984934
1OWH,23.33663688834523,15.38458054182296,32.04254839770628
1OYT,16.87134612954162,-12.443901525619257,21.75265822671615
1P1N,15.769207718159734,2.347527651061213,15.537823250368726
1P1Q,46.628052825092915,25.552375049591163,41.47189131544283
1PS3,30.440574542427264,66.69085352193427,8.77006052499955
1PXN,1.8527831309280067,7.298278067072935,26.604700882373933
1Q8T,8.96181361348091,9.014224794269541,3.2565739295730802
1Q8U,19.179237896651195,9.31180433323691,-19.12239038168529
1QF1,36.25430095114352,40.74526269184409,-4.111889048885108
1QKT,-1.6197478466776083,51.21661135113912,165.119607454831
1R5Y,17.067425877435216,16.959971131003602,21.46507409169452
1S38,16.775076539467005,16.953044239123898,21.664764897249885
1SQA,23.527436075282406,16.273146522096024,33.36409379172684
1SYI,19.168186808468985,13.068103917565484,89.40584301896426
1U1B,-22.231078878599263,-18.66585292638697,-9.858191003476493
1UTO,45.325975632238475,20.527529091757803,50.83338437695128
1VSO,38.85295140640439,4.9788946497095585,6.788134594258419
1W4O,37.09024887970414,-0.07755085448416592,12.64213861203998
1Y6R,45.762393242864675,86.83187292583767,41.74631529044886
1YC1,0.6549401247230958,34.34599180433432,-3.667651477047218
1YDR,7.710608622396298,9.469760833005124,3.6206957622180407
1YDT,10.011917670033474,10.938064258746344,2.063089303468251
1Z6E,7.444616043814211,30.25072255124927,56.68831781198243
1Z95,27.97454417830022,2.2369323841637363,6.245830994295383
1Z9G,37.32021061318547,41.50717314570252,-3.393244377800277
2AL5,20.535241855131275,94.15795018389373,25.283622005472594
2BR1,17.647675715029603,-3.0607355389503326,10.282731845600972
