PDB_ID,X,Y,Z
1G9V,5.122185664701422,18.327067625467315,37.331720687624006
1GM8,14.359433688913134,-2.2420546068294547,3.741992450495923
1GPK,2.8766358615444974,67.42403658821142,63.15878348477704
1HNN,12.6473489045767,21.379554380167125,21.63091721958299
1HVY,69.35097727250854,45.466392226980226,25.42006810155475
1HWI,16.921509758187433,16.88086766184002,25.86379255420472
1IA1,10.355366248813889,36.10746813294535,18.60790187364525
1IG3,24.149759451699808,41.31583403609464,19.36908775443591
1J3J,30.877942906705666,-29.500783857153294,6.832227583608845
1JLA,-3.047638651019675,-35.280287257538646,24.76883677421753
1K3U,48.780457814066914,27.215299590019473,12.965932170283562
1KE5,-9.655236728254197,48.41254793688396,37.678162643742645
1KZK,20.037911923527957,-1.9277077536872504,16.90557362872433
1L2S,51.647443987767346,-2.2457998275827666,22.102589279349434
1L7F,26.202096700462878,17.044096027795717,62.923658375135865
1LPZ,7.339972972855561,6.345641222543044,22.59127304255472
1M2Z,18.81880548658627,25.14228049779322,-13.49371939133334
1MEH,56.14368051703337,55.99640545233688,18.243655657233155
1MMV,14.036181218494875,0.0010309554206504549,59.09579296980797
1N1M,121.89400185339471,61.866701034954275,100.65512559668717
1N2J,32.82199896586577,33.86986428836636,47.45893916366945
1N2V,16.216028897981698,17.34563920399092,20.782023141623135
1N46,5.2149908674805525,-19.898916997512284,-27.78947796639124
1NAV,48.36256453975208,18.080630632612582,19.43028621195028
1OF1,20.033471385257055,22.02457771802547,9.459182832521467
1OF6,65.73193952375145,58.162230754485364,73.37443159682269
1OPK,46.42490031604179,18.26425089187575,18.113392711039776
1OWE,22.747957197273962,15.83699473122169,32.46235068092889
1OYT,16.87134612954162,-12.443901525619257,21.75265822671615
1P62,68.85232213023225,34.96085231488237,19.442823672178672
1PMN,21.907309453201886,10.888114362878818,32.28210889551569
1Q1G,32.21307061557784,24.413239044686083,65.05275430736448
1Q41,22.568756774602324,-18.415694367639976,8.293631549244092
1Q4G,67.68577604139679,22.25978720134851,191.05898188655212
1R9O,8.50573446332163,33.36199859497104,-1.953259360585556
1S19,11.448128043749204,23.005590418891625,34.28906784030252
1S3V,-2.661039446778369,27.752383926337973,3.4924996729283704
1SG0,36.12647883048583,16.491869509069968,31.03204355374115
1SJ0,31.332442707409907,-1.3826793366730277,25.347378342452362
1SQN,11.659122010301491,25.057024586578038,8.25786372050388
1T40,16.703813016449402,-6.678195158280405,14.284786445602748
1T46,26.172604482346287,26.11096674243025,40.290667302676134
1T9B,-9.27718664183784,51.01607896153838,123.58626351302014
1TOW,21.059852739626002,4.875565818058694,1.5489075921691557
1TT1,2.107588813748951,0.8114210792147926,26.432924605553918
1TZ8,37.39982182744786,66.99952088691082,0.022175481967647657
1U1C,12.829285412629437,136.78229707920005,45.87191798858084
1U4D,56.36716210409805,17.15126093494321,41.132743364309015
1UML,49.671908246311546,53.63000788809078,19.036383295177053
1UNL,59.608452536639504,28.889046472281333,26.956678403578845
1UOU,-3.7687684140616673,2.2910362761050695,29.123847604121277
1V0P,31.10986978889295,28.952691283173653,-5.46065862819269
1V48,73.61491276256407,44.51876629479687,50.26426259694088
1V4S,40.05019173564842,15.179424917263475,61.86385554199924
1VCJ,31.626762121799743,-9.364554641751228,64.04427181338558
1W1P,43.20550987534587,75.61079763066026,51.93665163136053
1W2G,34.60421457518249,32.0077842837427,59.75132073819105
1X8X,8.519561167196201,28.794719098042098,16.51384919837063
1XM6,87.06810159389447,0.7599450851878401,12.69968657121571
1XOQ,22.26760340461408,21.20466449319925,97.25809429069152
1XOZ,47.42559893186098,34.981834990030016,12.16415545017064
1Y6B,0.2716059189503514,30.560546592370407,17.53081391083938
1YGC,10.347428848500885,41.49815591867505,32.607104565048274
1YV3,22.465728561904744,38.276378954931175,37.04624693095655
1YVF,-11.33094176887562,56.7786878112181,49.75384492176385
1YWR,2.637522060172415,-0.9639274942959194,21.28972594947479
1Z95,27.97454417830022,2.2369323841637363,6.245830994295383
2BM2,33.160910089140266,113.95260873298284,95.21243147747116
2BR1,17.647675715029603,-3.0607355389503326,10.282731845600972
2BSM,32.24597859611077,8.80738215202533,25.21098854259109
